"Date","Price","Open","High","Low","Vol.","Change %"
"02/08/2024","4.97","4.95","4.97","4.94","48.60K","0.40%"
"02/07/2024","4.95","4.94","4.96","4.94","98.80K","0.20%"
"02/06/2024","4.94","4.93","4.94","4.93","65.90K","-0.60%"
"02/05/2024","4.97","4.92","4.97","4.92","208.60K","1.02%"
"02/02/2024","4.92","4.92","4.93","4.92","56.10K","-0.20%"
"01/31/2024","4.93","4.94","4.94","4.93","184.30K","-1.00%"
"01/30/2024","4.98","4.96","4.99","4.95","177.40K","-0.20%"
"01/29/2024","4.99","4.98","4.99","4.98","159.10K","0.20%"
"01/26/2024","4.98","4.98","4.99","4.98","83.70K","0.00%"
"01/24/2024","4.98","4.97","4.99","4.97","351.30K","0.00%"
"01/23/2024","4.98","4.98","4.99","4.98","105.00K","0.00%"
"01/22/2024","4.98","4.98","4.99","4.98","297.80K","0.00%"
"01/19/2024","4.98","4.98","4.99","4.98","67.00K","-0.20%"
"01/18/2024","4.99","4.98","4.99","4.98","180.30K","0.00%"
"01/17/2024","4.99","4.98","4.99","4.98","564.40K","0.20%"
"01/16/2024","4.98","5.00","5.00","4.98","174.40K","-0.40%"
"01/15/2024","5.00","4.99","5.01","4.99","244.10K","0.00%"
"01/12/2024","5.00","5.00","5.01","4.99","4.57M","0.00%"
"01/11/2024","5.00","5.00","5.01","4.99","3.05M","-0.20%"
"01/10/2024","5.01","4.99","5.01","4.99","4.37M","0.20%"
"01/09/2024","5.00","4.99","5.01","4.99","8.51M","0.00%"
"01/08/2024","5.00","4.99","5.00","4.99","8.49M","0.00%"
"01/05/2024","5.00","4.99","5.01","4.99","6.62M","0.00%"
"01/04/2024","5.00","4.99","5.00","4.98","4.23M","0.00%"
"01/03/2024","5.00","4.99","5.00","4.98","4.80M","0.00%"
"01/02/2024","5.00","4.99","5.00","4.99","6.70M","0.40%"
"12/29/2023","4.98","4.99","5.00","4.98","4.55M","-0.20%"
"12/28/2023","4.99","4.99","5.00","4.99","3.59M","0.00%"
"12/27/2023","4.99","4.98","4.99","4.97","3.31M","0.20%"
"12/26/2023","4.98","4.97","4.98","4.97","308.50K","0.00%"
"12/22/2023","4.98","4.97","4.98","4.97","539.70K","0.00%"
"12/21/2023","4.98","4.97","4.98","4.96","724.00K","0.20%"
"12/20/2023","4.97","4.97","4.97","4.96","395.70K","0.20%"
"12/19/2023","4.96","4.98","4.98","4.96","900.10K","0.00%"
"12/18/2023","4.96","4.97","4.98","4.96","576.00K","0.00%"
"12/15/2023","4.96","4.97","4.97","4.96","1.05M","0.00%"
"12/14/2023","4.96","4.97","4.97","4.96","1.09M","-0.20%"
"12/13/2023","4.97","4.96","4.97","4.96","847.40K","0.40%"
"12/12/2023","4.95","4.95","4.96","4.95","920.60K","-0.20%"
"12/11/2023","4.96","4.96","4.96","4.95","866.00K","0.00%"
"12/08/2023","4.96","4.95","4.96","4.95","588.70K","0.20%"
"12/07/2023","4.95","4.95","4.96","4.95","4.33M","0.20%"
"12/06/2023","4.94","4.91","4.95","4.89","7.79M","0.82%"
"12/05/2023","4.90","4.91","4.92","4.90","1.41M","-0.20%"
"12/04/2023","4.91","4.91","4.92","4.90","623.30K","0.00%"
"12/01/2023","4.91","4.91","4.92","4.90","344.40K","0.20%"
"11/30/2023","4.90","4.90","4.92","4.90","1.42M","0.00%"
"11/29/2023","4.90","4.90","4.91","4.90","336.60K","0.00%"
"11/28/2023","4.90","4.91","4.91","4.90","1.33M","0.00%"
"11/27/2023","4.90","4.90","4.90","4.89","526.70K","-0.20%"
"11/24/2023","4.91","4.92","4.92","4.90","746.50K","0.00%"
"11/23/2023","4.91","4.91","4.92","4.90","404.20K","0.00%"
"11/22/2023","4.91","4.90","4.92","4.90","395.30K","0.20%"
"11/21/2023","4.90","4.91","4.91","4.90","473.80K","-0.20%"
"11/20/2023","4.91","4.90","4.92","4.90","377.60K","0.00%"
"11/17/2023","4.91","4.92","4.92","4.89","3.42M","-0.20%"
"11/16/2023","4.92","4.88","4.92","4.88","1.21M","0.82%"
"11/15/2023","4.88","4.91","4.92","4.88","1.12M","-0.41%"
"11/14/2023","4.90","4.87","4.92","4.87","1.07M","0.62%"
"11/10/2023","4.87","4.86","4.88","4.85","1.09M","0.21%"
"11/09/2023","4.86","4.85","4.87","4.85","991.40K","0.00%"
"11/08/2023","4.86","4.85","4.87","4.85","273.00K","0.00%"
"11/07/2023","4.86","4.86","4.88","4.85","716.60K","-0.21%"
"11/06/2023","4.87","4.86","4.87","4.85","409.60K","0.21%"
"11/03/2023","4.86","4.86","4.86","4.85","454.20K","0.00%"
"11/02/2023","4.86","4.86","4.86","4.85","624.10K","0.41%"
"11/01/2023","4.84","4.85","4.85","4.84","708.30K","-0.21%"
"10/31/2023","4.85","4.84","4.85","4.83","1.00M","0.41%"
"10/30/2023","4.83","4.83","4.84","4.81","436.30K","-0.21%"
"10/27/2023","4.84","4.85","4.86","4.83","1.43M","-0.21%"
"10/26/2023","4.85","4.83","4.85","4.82","867.40K","0.41%"
"10/25/2023","4.83","4.83","4.83","4.81","447.10K","0.21%"
"10/24/2023","4.82","4.82","4.83","4.80","848.70K","0.00%"
"10/23/2023","4.82","4.80","4.82","4.80","197.10K","0.42%"
"10/20/2023","4.80","4.80","4.82","4.80","703.00K","-0.21%"
"10/19/2023","4.81","4.79","4.81","4.79","1.31M","0.00%"
"10/18/2023","4.81","4.77","4.81","4.76","5.36M","0.42%"
"10/17/2023","4.79","4.78","4.79","4.77","587.70K","0.00%"
"10/16/2023","4.79","4.78","4.80","4.77","1.25M","0.21%"
"10/13/2023","4.78","4.75","4.78","4.75","3.14M","0.63%"
"10/12/2023","4.75","4.75","4.77","4.74","7.34M","0.00%"
"10/11/2023","4.75","4.74","4.76","4.73","7.52M","0.42%"
"10/10/2023","4.73","4.74","4.76","4.71","5.12M","0.00%"
"10/09/2023","4.73","4.73","4.75","4.72","4.55M","0.21%"
"10/06/2023","4.72","4.75","4.75","4.71","3.65M","-0.42%"
"10/05/2023","4.74","4.75","4.76","4.74","850.90K","-0.21%"
"10/04/2023","4.75","4.73","4.75","4.72","7.76M","0.42%"
"10/03/2023","4.73","4.76","4.78","4.73","4.36M","-0.63%"
"10/02/2023","4.76","4.76","4.78","4.75","2.50M","0.00%"
"09/29/2023","4.76","4.77","4.78","4.75","2.45M","-0.21%"
"09/27/2023","4.77","4.86","4.86","4.76","2.81M","-2.65%"
"09/26/2023","4.90","4.76","4.90","4.74","4.83M","2.73%"
"09/25/2023","4.77","4.76","4.77","4.76","266.50K","-0.21%"
"09/22/2023","4.78","4.75","4.78","4.75","1.56M","0.42%"
"09/21/2023","4.76","4.77","4.77","4.75","1.02M","0.00%"
"09/20/2023","4.76","4.77","4.79","4.75","2.57M","0.00%"
"09/19/2023","4.76","4.77","4.78","4.73","2.52M","-0.42%"
"09/18/2023","4.78","4.78","4.79","4.75","300.00K","0.21%"
"09/15/2023","4.77","4.77","4.80","4.75","1.71M","0.00%"
"09/14/2023","4.77","4.79","4.81","4.75","2.60M","-0.83%"
"09/13/2023","4.81","4.78","4.81","4.78","647.00K","0.42%"
"09/12/2023","4.79","4.82","4.83","4.78","623.40K","-0.62%"
"09/11/2023","4.82","4.77","4.82","4.77","703.20K","1.05%"
"09/08/2023","4.77","4.80","4.83","4.77","4.94M","-0.63%"
"09/07/2023","4.80","4.76","4.81","4.76","2.46M","0.63%"
"09/06/2023","4.77","4.78","4.78","4.75","3.14M","0.42%"
"09/05/2023","4.75","4.79","4.79","4.75","1.87M","-0.84%"
"09/04/2023","4.79","4.84","4.84","4.76","1.14M","-1.03%"
"09/01/2023","4.84","4.77","4.85","4.75","3.89M","1.47%"
"08/30/2023","4.77","4.78","4.80","4.74","1.64M","-0.63%"
"08/29/2023","4.80","4.70","4.82","4.70","4.45M","2.56%"
"08/28/2023","4.68","4.75","4.76","4.65","16.60M","-1.27%"
"08/25/2023","4.74","4.81","4.88","4.73","23.94M","2.60%"
"08/24/2023","4.62","4.57","4.76","4.57","4.10M","1.54%"
"08/23/2023","4.55","4.58","4.63","4.51","4.54M","0.00%"
"08/22/2023","4.55","4.53","4.57","4.49","1.91M","0.44%"
"08/21/2023","4.53","4.61","4.62","4.50","3.23M","-1.74%"
"08/18/2023","4.61","4.54","4.61","4.53","2.56M","2.22%"
"08/17/2023","4.51","4.50","4.59","4.43","2.85M","0.67%"
"08/16/2023","4.48","4.50","4.55","4.41","3.89M","-0.44%"
"08/15/2023","4.50","4.53","4.55","4.44","3.61M","-0.66%"
"08/14/2023","4.53","4.26","4.57","4.26","6.90M","6.09%"
"08/11/2023","4.27","4.28","4.38","4.23","2.43M","-0.23%"
"08/10/2023","4.28","4.20","4.33","4.20","2.77M","2.15%"
"08/09/2023","4.19","4.10","4.23","4.10","2.79M","2.20%"
"08/08/2023","4.10","4.10","4.12","4.06","3.10M","0.24%"
"08/07/2023","4.09","4.09","4.18","4.08","1.03M","0.00%"
"08/04/2023","4.09","4.08","4.18","4.06","1.38M","0.25%"
"08/03/2023","4.08","4.10","4.12","4.02","1.53M","-0.24%"
"08/02/2023","4.09","4.12","4.13","4.05","3.87M","-0.73%"
"08/01/2023","4.12","4.14","4.18","4.10","1.36M","-0.24%"
"07/31/2023","4.13","3.99","4.21","3.99","3.97M","3.51%"
"07/28/2023","3.99","4.00","4.05","3.96","590.30K","0.00%"
"07/27/2023","3.99","3.98","4.00","3.95","1.23M","0.25%"
"07/26/2023","3.98","3.97","4.00","3.91","1.02M","-0.50%"
"07/25/2023","4.00","3.97","4.00","3.95","711.20K","1.27%"
"07/24/2023","3.95","4.01","4.03","3.91","363.30K","-1.00%"
"07/21/2023","3.99","3.98","4.05","3.97","1.13M","0.50%"
"07/20/2023","3.97","4.00","4.00","3.95","917.20K","-0.25%"
"07/18/2023","3.98","4.05","4.05","3.96","350.40K","-0.50%"
"07/17/2023","4.00","4.08","4.09","3.98","892.10K","-1.96%"
"07/14/2023","4.08","4.03","4.17","4.02","1.97M","0.00%"
"07/13/2023","4.08","4.00","4.14","3.99","3.85M","2.26%"
"07/12/2023","3.99","3.81","4.03","3.81","1.08M","5.00%"
"07/11/2023","3.80","3.79","3.81","3.79","249.50K","-0.26%"
"07/10/2023","3.81","3.82","3.83","3.80","405.10K","-1.04%"
"07/07/2023","3.85","3.81","3.88","3.80","1.04M","0.79%"
"07/06/2023","3.82","3.81","3.84","3.79","392.70K","0.26%"
"07/05/2023","3.81","3.84","3.84","3.80","138.10K","0.00%"
"07/04/2023","3.81","3.80","3.82","3.80","597.80K","0.26%"
"07/03/2023","3.80","3.75","3.84","3.75","514.10K","1.33%"
"06/30/2023","3.75","3.72","3.80","3.72","603.60K","1.35%"
"06/28/2023","3.70","3.69","3.74","3.68","523.20K","0.00%"
"06/27/2023","3.70","3.69","3.74","3.69","528.60K","0.00%"
"06/26/2023","3.70","3.68","3.73","3.66","936.80K","1.09%"
"06/23/2023","3.66","3.79","3.83","3.64","1.16M","-3.68%"
"06/22/2023","3.80","3.78","3.82","3.78","1.06M","0.53%"
"06/21/2023","3.78","3.75","3.83","3.75","259.80K","1.07%"
"06/20/2023","3.74","3.73","3.77","3.73","843.50K","0.27%"
"06/19/2023","3.73","3.75","3.75","3.72","534.70K","-0.53%"
"06/16/2023","3.75","3.71","3.75","3.70","106.80K","1.08%"
"06/15/2023","3.71","3.72","3.72","3.69","61.30K","0.00%"
"06/14/2023","3.71","3.70","3.73","3.70","169.40K","0.27%"
"06/13/2023","3.70","3.65","3.70","3.64","439.00K","1.09%"
"06/12/2023","3.66","3.70","3.71","3.64","574.50K","-1.35%"
"06/09/2023","3.71","3.74","3.75","3.70","116.80K","0.00%"
"06/08/2023","3.71","3.70","3.74","3.70","457.10K","0.54%"
"06/07/2023","3.69","3.73","3.75","3.65","545.20K","-2.12%"
"06/06/2023","3.77","3.79","3.79","3.72","359.80K","-0.26%"
"06/02/2023","3.78","3.89","3.89","3.77","1.36M","-2.83%"
"06/01/2023","3.89","3.85","3.90","3.83","204.70K","1.04%"
"05/31/2023","3.85","3.84","3.94","3.79","1.63M","0.52%"
"05/30/2023","3.83","3.78","3.86","3.70","575.40K","2.68%"
"05/29/2023","3.73","3.69","3.78","3.62","154.90K","1.91%"
"05/26/2023","3.66","3.68","3.69","3.64","994.80K","-1.61%"
"05/25/2023","3.72","3.69","3.72","3.64","363.80K","1.36%"
"05/24/2023","3.67","3.68","3.70","3.62","492.40K","-1.08%"
"05/23/2023","3.71","3.65","3.72","3.65","75.90K","1.37%"
"05/22/2023","3.66","3.78","3.78","3.63","639.30K","-3.17%"
"05/19/2023","3.78","3.76","3.80","3.76","124.00K","0.53%"
"05/18/2023","3.76","3.80","3.83","3.76","274.10K","-1.05%"
"05/17/2023","3.80","3.79","3.80","3.78","414.40K","0.26%"
"05/16/2023","3.79","3.82","3.84","3.79","411.80K","-1.04%"
"05/15/2023","3.83","3.83","3.84","3.79","165.90K","0.00%"
"05/12/2023","3.83","3.79","3.84","3.78","171.50K","1.06%"
"05/11/2023","3.79","3.87","3.87","3.79","299.60K","-1.81%"
"05/10/2023","3.86","3.83","3.88","3.80","354.60K","0.78%"
"05/09/2023","3.83","3.79","3.83","3.77","219.60K","0.26%"
"05/08/2023","3.82","3.79","3.86","3.79","106.20K","0.79%"
"05/05/2023","3.79","3.78","3.79","3.76","2.01M","1.07%"
"05/03/2023","3.75","3.85","3.88","3.73","705.80K","-2.34%"
"05/02/2023","3.84","3.86","3.86","3.76","172.10K","-0.78%"
"04/28/2023","3.87","3.84","3.87","3.81","114.70K","1.04%"
"04/27/2023","3.83","3.90","3.90","3.78","318.40K","-0.78%"
"04/26/2023","3.86","3.92","3.96","3.83","329.80K","-2.77%"
"04/25/2023","3.97","3.97","4.00","3.88","334.30K","0.00%"
"04/20/2023","3.97","3.88","3.98","3.84","471.30K","2.32%"
"04/19/2023","3.88","3.97","3.97","3.85","595.30K","-2.27%"
"04/18/2023","3.97","3.88","3.99","3.83","1.36M","2.85%"
"04/17/2023","3.86","3.83","3.86","3.77","261.20K","-1.03%"
"04/14/2023","3.90","3.91","3.92","3.86","388.70K","-0.51%"
"04/13/2023","3.92","3.92","3.94","3.91","633.10K","0.00%"
"04/12/2023","3.92","3.86","3.98","3.86","884.10K","2.35%"
"04/11/2023","3.83","3.85","3.92","3.83","2.04M","0.26%"
"04/10/2023","3.82","3.80","3.84","3.80","471.30K","-0.26%"
"04/07/2023","3.83","3.85","3.86","3.82","402.30K","-0.52%"
"04/06/2023","3.85","3.87","3.88","3.84","380.60K","0.52%"
"04/05/2023","3.83","3.89","3.89","3.83","971.60K","-1.79%"
"04/04/2023","3.90","3.89","3.90","3.82","1.46M","1.56%"
"04/03/2023","3.84","3.85","3.91","3.80","893.20K","-0.26%"
"03/31/2023","3.85","3.91","3.92","3.83","1.13M","-0.52%"
"03/30/2023","3.87","3.93","3.93","3.85","758.30K","-2.03%"
"03/29/2023","3.95","3.79","3.95","3.72","631.80K","4.22%"
"03/28/2023","3.79","3.70","3.79","3.65","353.90K","2.71%"
"03/27/2023","3.69","3.57","3.69","3.57","409.60K","1.93%"
"03/24/2023","3.62","3.65","3.65","3.57","652.70K","1.69%"
"03/23/2023","3.56","3.56","3.65","3.53","956.90K","-2.73%"
"03/22/2023","3.66","3.60","3.66","3.58","652.80K","2.23%"
"03/21/2023","3.58","3.60","3.62","3.54","278.40K","-0.56%"
"03/20/2023","3.60","3.65","3.65","3.50","814.10K","0.00%"
"03/17/2023","3.60","3.80","3.80","3.58","888.50K","-4.00%"
"03/16/2023","3.75","3.61","3.88","3.55","1.75M","3.31%"
"03/15/2023","3.63","3.69","3.69","3.63","704.30K","-1.89%"
"03/14/2023","3.70","3.69","3.70","3.64","1.48M","0.27%"
"03/13/2023","3.69","3.68","3.71","3.64","725.50K","0.27%"
"03/10/2023","3.68","3.79","3.79","3.64","339.40K","-2.90%"
"03/09/2023","3.79","3.85","3.85","3.78","541.30K","-0.52%"
"03/08/2023","3.81","3.80","3.85","3.78","523.10K","0.26%"
"03/07/2023","3.80","3.82","3.86","3.79","1.19M","-0.78%"
"03/06/2023","3.83","3.91","3.93","3.82","891.60K","-1.79%"
"03/03/2023","3.90","3.79","3.90","3.75","1.09M","2.90%"
"03/02/2023","3.79","3.89","3.89","3.78","642.80K","-1.56%"
"03/01/2023","3.85","3.90","3.92","3.78","1.22M","-1.28%"
"02/28/2023","3.90","3.96","3.97","3.77","1.94M","-1.27%"
"02/27/2023","3.95","3.92","3.96","3.89","935.80K","1.28%"
"02/24/2023","3.90","3.93","3.97","3.89","795.40K","-0.26%"
"02/23/2023","3.91","3.89","3.93","3.86","606.60K","0.26%"
"02/22/2023","3.90","3.91","3.95","3.85","517.80K","-0.26%"
"02/21/2023","3.91","3.90","3.94","3.89","1.45M","0.26%"
"02/20/2023","3.90","3.88","3.96","3.83","1.11M","1.30%"
"02/17/2023","3.85","3.94","3.97","3.84","522.00K","-2.04%"
"02/16/2023","3.93","3.93","3.99","3.90","970.60K","0.00%"
"02/15/2023","3.93","3.90","4.04","3.90","915.10K","0.77%"
"02/14/2023","3.90","3.76","4.04","3.76","3.98M","3.17%"
"02/13/2023","3.78","3.76","3.80","3.76","534.40K","0.80%"
"02/10/2023","3.75","3.73","3.77","3.69","323.40K","0.54%"
"02/09/2023","3.73","3.70","3.78","3.69","2.30M","0.81%"
"02/08/2023","3.70","3.65","3.80","3.65","1.46M","1.37%"
"02/07/2023","3.65","3.70","3.70","3.62","1.22M","-1.35%"
"02/03/2023","3.70","3.71","3.75","3.68","1.66M","-1.33%"
"02/02/2023","3.75","3.72","3.81","3.70","1.70M","1.35%"
"01/31/2023","3.70","3.76","3.78","3.69","825.40K","-2.63%"
"01/30/2023","3.80","3.78","3.88","3.74","587.80K","0.53%"
"01/27/2023","3.78","3.68","3.78","3.68","1.55M","2.72%"
"01/26/2023","3.68","3.69","3.70","3.68","574.40K","-0.54%"
"01/25/2023","3.70","3.70","3.80","3.69","612.80K","-1.33%"
"01/20/2023","3.75","3.83","3.83","3.66","618.10K","0.54%"
"01/19/2023","3.73","3.72","3.86","3.70","473.30K","-0.80%"
"01/18/2023","3.76","3.75","3.80","3.71","237.70K","-0.53%"
"01/17/2023","3.78","3.80","3.84","3.73","824.20K","-0.53%"
"01/16/2023","3.80","3.75","3.82","3.68","760.30K","1.06%"
"01/13/2023","3.76","3.65","3.80","3.65","984.70K","3.30%"
"01/12/2023","3.64","3.60","3.74","3.60","1.23M","1.11%"
"01/11/2023","3.60","3.62","3.63","3.54","1.16M","-0.83%"
"01/10/2023","3.63","3.55","3.65","3.52","1.04M","2.25%"
"01/09/2023","3.55","3.63","3.67","3.50","828.40K","-2.20%"
"01/06/2023","3.63","3.50","3.63","3.50","843.70K","3.71%"
"01/05/2023","3.50","3.58","3.60","3.49","743.60K","-2.78%"
"01/04/2023","3.60","3.50","3.63","3.50","1.32M","4.35%"
"01/03/2023","3.45","3.50","3.52","3.40","1.01M","-0.58%"